códigoventas,fecha,códigocliente,códigoproducto,unidades,preciototal
V000000000,2/1/14,C0008,B018IZ0SWI,2.0,774.36
V000000001,2/1/14,C0004,B01DZJFWNC,1.0,238.62
V000000002,2/1/14,C0000,B01DZJFWNC,2.0,477.24
V000000003,2/1/14,C0001,B016381QZA,4.0,1927.76
V000000004,3/1/14,C0005,B00J0O5J4Y,2.0,804.48
V000000005,3/1/14,C0007,B01KBH547A,3.0,725.61
V000000006,4/1/14,C0006,B00K15Q2B0,15.0,7769.400000000001
V000000007,4/1/14,C0012,B00NQGP42Y,2.0,1135.72
V000000008,4/1/14,C0009,B00NQGP42Y,2.0,1135.72
V000000009,4/1/14,C0015,B01LQV1YHO,2.0,776.28
V000000010,4/1/14,C0011,B01KBH547A,2.0,483.74
V000000011,4/1/14,C0013,B00F3J4B5S,6.0,2473.68
V000000012,5/1/14,C0003,B00J0O5J4Y,4.0,1608.96
V000000013,5/1/14,C0002,B01KBH547A,3.0,725.61
V000000014,5/1/14,C0023,B00NQGP42Y,2.0,1135.72
V000000015,5/1/14,C0005,B01KBH547A,1.0,241.87
V000000016,5/1/14,C0006,B018IZ0SWI,19.0,7356.42
V000000017,5/1/14,C0014,B00NQGP42Y,3.0,1703.58
V000000018,5/1/14,C0007,B00J0O5J4Y,2.0,804.48
V000000019,5/1/14,C0000,B018IZ0SWI,1.0,387.18
V000000020,5/1/14,C0008,B018IZ0SWI,2.0,774.36
V000000021,5/1/14,C0001,B01EYT1URO,3.0,941.0699999999999
V000000022,6/1/14,C0004,B01EYT1URO,2.0,627.38
V000000023,6/1/14,C0009,B018IZ0SWI,1.0,387.18
V000000024,7/1/14,C0012,B00NQGP42Y,2.0,1135.72
V000000025,7/1/14,C0011,B01LQV1YHO,1.0,388.14
V000000026,7/1/14,C0015,B00NQGP42Y,2.0,1135.72
V000000027,7/1/14,C0003,B01EYT1URO,2.0,627.38
V000000028,7/1/14,C0013,B00K15Q2B0,1.0,517.96
V000000029,7/1/14,C0006,B01DZJFWNC,3.0,715.86
V000000030,7/1/14,C0007,B016381QZA,1.0,481.94
V000000031,8/1/14,C0023,B018IZ0SWI,3.0,1161.54
V000000032,8/1/14,C0005,B018IZ0SWI,2.0,774.36
V000000033,8/1/14,C0014,B00F3J4B5S,3.0,1236.84
V000000034,8/1/14,C0000,B01KBH547A,21.0,5079.27
V000000035,9/1/14,C0001,B00NQGP42Y,3.0,1703.58
V000000036,9/1/14,C0002,B00F3J4B5S,2.0,824.56
V000000037,9/1/14,C0008,B00F3J4B5S,3.0,1236.84
V000000038,9/1/14,C0004,B01DZJFWNC,2.0,477.24
V000000039,10/1/14,C0009,B00J0O5J4Y,1.0,402.24
V000000040,10/1/14,C0003,B00J0O5J4Y,2.0,804.48
V000000041,10/1/14,C0012,B016B7INC2,3.0,731.34
V000000042,10/1/14,C0006,B018IZ0SWI,1.0,387.18
V000000043,11/1/14,C0013,B01KBH547A,1.0,241.87
V000000044,11/1/14,C0007,B016B7INC2,19.0,4631.82
V000000045,11/1/14,C0011,B01DZJFWNC,2.0,477.24
V000000046,11/1/14,C0015,B01KBH547A,1.0,241.87
V000000047,11/1/14,C0005,B00F3J4B5S,2.0,824.56
V000000048,11/1/14,C0023,B016381QZA,2.0,963.88
V000000049,11/1/14,C0014,B016B7INC2,2.0,487.56
V000000050,11/1/14,C0000,B016B7INC2,3.0,731.34
V000000051,11/1/14,C0008,B00J0O5J4Y,1.0,402.24
V000000052,12/1/14,C0001,B01EYT1URO,2.0,627.38
V000000053,12/1/14,C0002,B00K15Q2B0,1.0,517.96
V000000054,12/1/14,C0004,B01LQV1YHO,1.0,388.14
V000000055,12/1/14,C0009,B00NQGP42Y,3.0,1703.58
V000000056,12/1/14,C0003,B015YCRYZM,1.0,481.11
V000000057,12/1/14,C0012,B018IZ0SWI,2.0,774.36
V000000058,13/1/14,C0006,B01KBH547A,2.0,483.74
V000000059,13/1/14,C0013,B00NQGP42Y,4.0,2271.44
V000000060,13/1/14,C0007,B00F3J4B5S,3.0,1236.84
V000000061,13/1/14,C0011,B01DZJFWNC,2.0,477.24
V000000062,14/1/14,C0015,B01KBH547A,4.0,967.48
V000000063,14/1/14,C0005,B01LQV1YHO,2.0,776.28
