código_venta,fecha,códigocliente,códigoproducto,unidades_predichas,preciototal
V000079697,2025-01-01,C0006,B01LQV1YHO,4,1552.56
V000079698,2025-01-01,C0013,B00K15Q2B0,3,1553.88
V000079699,2025-01-01,C0046,B01KBH547A,3,725.61
V000079700,2025-01-01,C0013,B00NQGP42Y,9,5110.74
V000079701,2025-01-01,C0039,B016381QZA,1,481.94
V000079702,2025-01-02,C0025,B00K15Q2B0,1,517.96
V000079703,2025-01-02,C0009,B00K15Q2B0,3,1553.88
V000079704,2025-01-02,C0021,B018IZ0SWI,3,1161.54
V000079705,2025-01-02,C0010,B018IZ0SWI,2,774.36
V000079706,2025-01-02,C0051,B01KBH547A,3,725.61
V000079707,2025-01-02,C0050,B00NQGP42Y,1,567.86
V000079708,2025-01-02,C0046,B00NQGP42Y,1,567.86
V000079709,2025-01-02,C0016,B016B7INC2,5,1218.9
V000079710,2025-01-02,C0005,B00K15Q2B0,3,1553.88
V000079711,2025-01-02,C0048,B00K15Q2B0,1,517.96
V000079712,2025-01-02,C0012,B00K15Q2B0,3,1553.88
V000079713,2025-01-03,C0065,B01KBH547A,3,725.61
V000079714,2025-01-03,C0044,B01DZJFWNC,5,1193.1
V000079715,2025-01-03,C0038,B018IZ0SWI,5,1935.9
V000079716,2025-01-03,C0067,B01LQV1YHO,7,2716.98
V000079717,2025-01-03,C0066,B00F3J4B5S,3,1236.84
V000079718,2025-01-03,C0018,B00F3J4B5S,8,3298.24
V000079719,2025-01-03,C0056,B00F3J4B5S,3,1236.84
V000079720,2025-01-03,C0007,B018IZ0SWI,4,1548.72
V000079721,2025-01-03,C0045,B01EYT1URO,1,313.69
V000079722,2025-01-03,C0051,B00F3J4B5S,1,412.28
V000079723,2025-01-04,C0051,B01DZJFWNC,4,954.48
V000079724,2025-01-04,C0062,B00F3J4B5S,2,824.56
V000079725,2025-01-04,C0062,B016381QZA,1,481.94
V000079726,2025-01-04,C0007,B01KBH547A,2,483.74
V000079727,2025-01-04,C0039,B00K15Q2B0,3,1553.88
V000079728,2025-01-04,C0013,B00F3J4B5S,9,3710.5199999999995
V000079729,2025-01-04,C0010,B00F3J4B5S,2,824.56
V000079730,2025-01-04,C0036,B01KBH547A,1,241.87
V000079731,2025-01-04,C0015,B00F3J4B5S,5,2061.3999999999996
V000079732,2025-01-04,C0049,B01EYT1URO,3,941.0699999999999
V000079733,2025-01-05,C0040,B00J0O5J4Y,1,402.24
V000079734,2025-01-05,C0053,B00NQGP42Y,1,567.86
V000079735,2025-01-05,C0035,B01KBH547A,3,725.61
V000079736,2025-01-05,C0004,B01EYT1URO,4,1254.76
V000079737,2025-01-05,C0004,B018IZ0SWI,5,1935.9
V000079738,2025-01-05,C0067,B00K15Q2B0,1,517.96
V000079739,2025-01-05,C0054,B016381QZA,2,963.88
V000079740,2025-01-05,C0027,B00F3J4B5S,3,1236.84
V000079741,2025-01-05,C0017,B00NQGP42Y,1,567.86
V000079742,2025-01-05,C0042,B016B7INC2,4,975.12
V000079743,2025-01-05,C0065,B00F3J4B5S,6,2473.68
V000079744,2025-01-05,C0059,B01KBH547A,4,967.48
V000079745,2025-01-06,C0026,B00K15Q2B0,3,1553.88
V000079746,2025-01-06,C0033,B016B7INC2,3,731.34
V000079747,2025-01-06,C0061,B00F3J4B5S,4,1649.12
V000079748,2025-01-06,C0002,B00NQGP42Y,4,2271.44
V000079749,2025-01-06,C0001,B00NQGP42Y,4,2271.44
V000079750,2025-01-06,C0003,B00NQGP42Y,3,1703.58
V000079751,2025-01-06,C0047,B01LQV1YHO,4,1552.56
V000079752,2025-01-06,C0063,B00NQGP42Y,4,2271.44
V000079753,2025-01-06,C0001,B01KBH547A,5,1209.35
V000079754,2025-01-07,C0019,B018IZ0SWI,4,1548.72
V000079755,2025-01-07,C0062,B01KBH547A,1,241.87
V000079756,2025-01-07,C0049,B00NQGP42Y,4,2271.44
V000079757,2025-01-07,C0045,B01LQV1YHO,7,2716.98
V000079758,2025-01-07,C0005,B00NQGP42Y,6,3407.16
V000079759,2025-01-07,C0002,B00F3J4B5S,1,412.28
V000079760,2025-01-07,C0041,B018IZ0SWI,6,2323.08
V000079761,2025-01-07,C0057,B01EYT1URO,3,941.0699999999999
V000079762,2025-01-07,C0038,B00NQGP42Y,5,2839.3
V000079763,2025-01-08,C0017,B00K15Q2B0,5,2589.8
V000079764,2025-01-08,C0043,B00F3J4B5S,7,2885.96
V000079765,2025-01-08,C0063,B01KBH547A,6,1451.22
V000079766,2025-01-08,C0047,B018IZ0SWI,8,3097.44
V000079767,2025-01-09,C0012,B01KBH547A,12,2902.44
V000079768,2025-01-09,C0036,B01DZJFWNC,3,715.86
V000079769,2025-01-09,C0068,B01DZJFWNC,2,477.24
V000079770,2025-01-09,C0029,B01KBH547A,5,1209.35
V000079771,2025-01-09,C0033,B00F3J4B5S,1,412.28
V000079772,2025-01-09,C0068,B01EYT1URO,1,313.69
V000079773,2025-01-10,C0070,B00K15Q2B0,2,1035.92
V000079774,2025-01-10,C0024,B01KBH547A,5,1209.35
V000079775,2025-01-10,C0054,B00K15Q2B0,11,5697.56
V000079776,2025-01-10,C0027,B018IZ0SWI,8,3097.44
V000079777,2025-01-10,C0029,B01DZJFWNC,6,1431.72
V000079778,2025-01-10,C0062,B018IZ0SWI,8,3097.44
V000079779,2025-01-10,C0016,B01DZJFWNC,2,477.24
V000079780,2025-01-11,C0059,B00NQGP42Y,3,1703.58
